ra,dec,z,petroMag_r
187.58338,-0.58318866,0.1167622,16.62574
168.2701,-0.093729351,0.0395609,17.60399
180.06772,-0.1436866,0.08019324,17.37298
181.59923,-0.034280053,0.1169759,16.8145
184.5455,-0.16365721,0.03835765,16.29036
226.91385,-0.10945628,0.0383857,14.81838
162.29937,0.26782241,0.03976493,16.11847
162.34459,0.39453197,0.03917246,17.12358
162.35164,0.23197972,0.03968886,14.87043
162.42927,0.40796379,0.0385818,16.61731
162.43678,0.3389159,0.03888225,17.03669
162.49522,0.32230856,0.03899863,13.66741
162.49847,0.39769829,0.03875441,17.63105
162.59494,0.23637702,0.03942392,15.16026
171.06254,0.41889841,0.03966612,16.13683
190.0879,0.27926715,0.1168091,17.64017
192.52624,0.30619216,0.08080171,17.52465
228.14598,0.32825164,0.117409,17.48328
232.82296,0.26885449,0.03871147,17.60875
233.59625,0.28699488,0.08044476,17.16446
150.59319,0.82293996,0.08082879,17.18919
161.56484,0.6815005,0.1172067,17.4364
202.3581,0.73412085,0.08014985,16.96352
170.64974,1.1163089,0.03967798,16.67687
188.19514,1.2554743,0.1175841,17.66827
195.31079,1.1599398,0.08040443,17.80471
189.46177,-1.4718716,0.08047935,17.48283
139.84669,-0.21330847,0.03855975,17.04922
139.88435,-0.41005345,0.03866367,17.54762
215.69691,1.2298769,0.1172633,15.21417
215.70017,1.203766,0.1173294,17.54487
186.14901,1.3087862,0.08025842,17.62881
160.87085,1.0394028,0.1172248,16.98953
159.32031,1.0326136,0.1175546,16.73025
159.17436,1.0309652,0.1172676,16.49069
235.4333,1.1466544,0.1170588,16.74198
229.52529,1.1613771,0.03876946,16.72859
227.49894,1.3741109,0.03897488,17.15949
232.2093,0.7772433,0.0398193,14.57258
217.95551,1.2238928,0.1174156,17.04362
216.13817,1.177306,0.03877855,13.66868
216.08082,1.1243778,0.03828513,17.15163
215.71748,1.2278083,0.1171396,16.76276
207.82976,1.4074964,0.1176077,17.27812
202.85825,1.3701351,0.08046248,17.27152
202.72847,1.4873308,0.08057515,17.45618
202.6789,1.3690344,0.08055404,16.58125
202.26901,1.13342,0.1170555,17.44626
202.07896,1.1771122,0.08061809,16.93332
201.39799,1.2376985,0.08030747,17.59802
201.57788,0.25789034,0.08035065,16.62436
204.10398,-0.1219539,0.03948652,15.68124
198.74505,-0.54311398,0.03891782,15.73976
130.49094,0.92989822,0.03985805,16.09113
148.40998,0.42522767,0.08035153,16.81099
147.77579,0.05411649,0.08020487,17.87747
147.74868,0.11584035,0.08062341,17.44983
147.73989,0.15970833,0.08043766,17.01608
147.30829,0.15116349,0.08016862,16.47175
148.94468,0.55687345,0.08022136,19.63969
196.83539,-1.4353707,0.08023174,17.42187
197.15323,-1.3101075,0.08081857,17.6673
185.17283,-1.2561686,0.1174141,17.55502
215.86745,1.1020731,0.03963184,16.05216
199.50979,1.1140587,0.08075301,15.04175
195.95616,1.0894372,0.08062324,17.57486
195.3087,1.1798708,0.08031724,16.89099
186.08219,1.0998576,0.03984521,18.43826
184.61896,1.2469248,0.1173368,18.19426
171.38747,1.2267021,0.1171457,16.79078
165.6703,1.0618643,0.03914415,17.81916
165.00438,1.1122512,0.03891089,14.9748
165.00782,1.0959985,0.03966768,17.3364
164.82438,1.1534874,0.03948564,14.16474
164.22228,1.4359323,0.0387747,16.39445
164.77444,1.1820687,0.03894255,14.58934
164.44401,1.2534234,0.0391899,14.85176
166.09966,1.4589991,0.03910921,15.83295
164.32311,1.256943,0.03956285,16.72395
163.1192,1.0614186,0.03902899,15.2348
162.89143,1.1288183,0.0803657,17.62813
162.71575,1.1670165,0.03926414,16.29838
162.51345,1.1579437,0.03926485,15.06317
162.45935,1.204653,0.03886399,14.314
